start_time,personId,dwell_time,end_time,FPS,
11-22-2022-13-16-38,5,54 Sec,11-22-2022-13-16-38,FPS: 1.22,88
11-22-2022-13-16-38,5,55 Sec,11-22-2022-13-16-39,FPS: 1.23,89
11-22-2022-13-16-39,5,56 Sec,11-22-2022-13-16-39,FPS: 1.23,90
11-22-2022-13-16-39,5,56 Sec,11-22-2022-13-16-40,FPS: 1.24,91
11-22-2022-13-16-40,5,57 Sec,11-22-2022-13-16-41,FPS: 1.24,92
11-22-2022-13-16-41,5,57 Sec,11-22-2022-13-16-41,FPS: 1.23,93
11-22-2022-13-16-41,5,58 Sec,11-22-2022-13-16-42,FPS: 1.24,94
11-22-2022-13-16-42,5,59 Sec,11-22-2022-13-16-43,FPS: 1.24,95
11-22-2022-13-16-43,5,59 Sec,11-22-2022-13-16-43,FPS: 1.24,96
11-22-2022-13-16-43,5,60 Sec,11-22-2022-13-16-44,FPS: 1.25,97
11-22-2022-13-16-44,5,61 Sec,11-22-2022-13-16-44,FPS: 1.25,98
11-22-2022-13-16-44,5,61 Sec,11-22-2022-13-16-45,FPS: 1.24,99
11-22-2022-13-16-45,5,62 Sec,11-22-2022-13-16-46,FPS: 1.26,100
11-22-2022-13-16-46,5,63 Sec,11-22-2022-13-16-46,FPS: 1.25,101
11-22-2022-13-16-46,5,63 Sec,11-22-2022-13-16-47,FPS: 1.26,102
11-22-2022-13-16-47,5,64 Sec,11-22-2022-13-16-48,FPS: 1.26,103
11-22-2022-13-16-48,5,65 Sec,11-22-2022-13-16-48,FPS: 1.26,104
11-22-2022-13-16-48,5,65 Sec,11-22-2022-13-16-49,FPS: 1.27,105
11-22-2022-13-16-49,5,66 Sec,11-22-2022-13-16-50,FPS: 1.27,106
11-22-2022-13-16-50,5,66 Sec,11-22-2022-13-16-50,FPS: 1.26,107
11-22-2022-13-16-50,5,67 Sec,11-22-2022-13-16-51,FPS: 1.27,108
11-22-2022-13-16-51,5,68 Sec,11-22-2022-13-16-52,FPS: 1.27,109
11-22-2022-13-16-52,5,68 Sec,11-22-2022-13-16-52,FPS: 1.28,110
11-22-2022-13-16-52,5,69 Sec,11-22-2022-13-16-53,FPS: 1.28,111
11-22-2022-13-16-53,5,70 Sec,11-22-2022-13-16-53,FPS: 1.28,112
11-22-2022-13-16-53,5,70 Sec,11-22-2022-13-16-54,FPS: 1.29,113
11-22-2022-13-16-54,5,71 Sec,11-22-2022-13-16-55,FPS: 1.28,114
11-22-2022-13-16-55,5,71 Sec,11-22-2022-13-16-55,FPS: 1.28,115
11-22-2022-13-16-55,5,72 Sec,11-22-2022-13-16-56,FPS: 1.29,116
11-22-2022-13-16-56,5,73 Sec,11-22-2022-13-16-56,FPS: 1.29,117
11-22-2022-13-16-56,5,73 Sec,11-22-2022-13-16-57,FPS: 1.30,118
11-22-2022-13-16-57,5,74 Sec,11-22-2022-13-16-58,FPS: 1.29,119
11-22-2022-13-16-58,5,74 Sec,11-22-2022-13-16-58,FPS: 1.29,120
11-22-2022-13-16-58,5,75 Sec,11-22-2022-13-16-59,FPS: 1.30,121
11-22-2022-13-16-59,5,76 Sec,11-22-2022-13-17-00,FPS: 1.30,122
11-22-2022-13-17-00,5,76 Sec,11-22-2022-13-17-00,FPS: 1.30,123
11-22-2022-13-17-00,5,77 Sec,11-22-2022-13-17-01,FPS: 1.30,124
11-22-2022-13-17-01,5,78 Sec,11-22-2022-13-17-01,FPS: 1.30,125
11-22-2022-13-17-01,5,78 Sec,11-22-2022-13-17-02,FPS: 1.31,126
11-22-2022-13-17-02,5,79 Sec,11-22-2022-13-17-03,FPS: 1.31,127
11-22-2022-13-17-03,5,79 Sec,11-22-2022-13-17-03,FPS: 1.31,128
11-22-2022-13-17-03,5,80 Sec,11-22-2022-13-17-04,FPS: 1.31,129
11-22-2022-13-17-04,4,108 Sec,11-22-2022-13-17-05,FPS: 1.31,142
11-22-2022-13-17-05,4,109 Sec,11-22-2022-13-17-05,FPS: 1.32,143
11-22-2022-13-17-05,4,109 Sec,11-22-2022-13-17-06,FPS: 1.32,144
11-22-2022-13-17-06,4,110 Sec,11-22-2022-13-17-06,FPS: 1.32,145
11-22-2022-13-17-06,4,110 Sec,11-22-2022-13-17-07,FPS: 1.32,146
11-22-2022-13-17-07,4,111 Sec,11-22-2022-13-17-08,FPS: 1.32,147
11-22-2022-13-17-08,4,112 Sec,11-22-2022-13-17-08,FPS: 1.32,148
11-22-2022-13-17-08,4,112 Sec,11-22-2022-13-17-09,FPS: 1.33,149
11-22-2022-13-17-09,4,113 Sec,11-22-2022-13-17-09,FPS: 1.32,150
11-22-2022-13-17-09,4,114 Sec,11-22-2022-13-17-10,FPS: 1.33,151
11-22-2022-13-17-10,4,114 Sec,11-22-2022-13-17-11,FPS: 1.33,152
11-22-2022-13-17-11,4,115 Sec,11-22-2022-13-17-11,FPS: 1.33,153
11-22-2022-13-17-11,4,115 Sec,11-22-2022-13-17-12,FPS: 1.34,154
11-22-2022-13-17-12,4,116 Sec,11-22-2022-13-17-13,FPS: 1.33,155
11-22-2022-13-17-13,4,117 Sec,11-22-2022-13-17-13,FPS: 1.33,156
11-22-2022-13-17-13,4,117 Sec,11-22-2022-13-17-14,FPS: 1.34,157
11-22-2022-13-17-14,4,118 Sec,11-22-2022-13-17-14,FPS: 1.34,158
11-22-2022-13-17-14,4,118 Sec,11-22-2022-13-17-15,FPS: 1.34,159
11-22-2022-13-17-15,4,119 Sec,11-22-2022-13-17-16,FPS: 1.34,160
11-22-2022-13-17-16,4,120 Sec,11-22-2022-13-17-16,FPS: 1.34,161
11-22-2022-13-17-16,4,120 Sec,11-22-2022-13-17-17,FPS: 1.35,162
11-22-2022-13-17-17,4,121 Sec,11-22-2022-13-17-18,FPS: 1.34,163
11-22-2022-13-17-18,4,122 Sec,11-22-2022-13-17-18,FPS: 1.34,164
11-22-2022-13-17-18,4,122 Sec,11-22-2022-13-17-19,FPS: 1.35,165
11-22-2022-13-17-19,4,123 Sec,11-22-2022-13-17-19,FPS: 1.35,166
11-22-2022-13-17-19,4,123 Sec,11-22-2022-13-17-20,FPS: 1.35,167
11-22-2022-13-17-20,4,124 Sec,11-22-2022-13-17-21,FPS: 1.35,168
11-22-2022-13-17-21,4,125 Sec,11-22-2022-13-17-21,FPS: 1.35,169
11-22-2022-13-17-21,4,125 Sec,11-22-2022-13-17-22,FPS: 1.36,170
11-22-2022-13-17-22,4,126 Sec,11-22-2022-13-17-23,FPS: 1.35,171
11-22-2022-13-17-23,4,127 Sec,11-22-2022-13-17-23,FPS: 1.35,172
11-22-2022-13-17-23,4,127 Sec,11-22-2022-13-17-24,FPS: 1.36,173
11-22-2022-13-17-24,4,128 Sec,11-22-2022-13-17-24,FPS: 1.36,174
11-22-2022-13-17-24,4,129 Sec,11-22-2022-13-17-25,FPS: 1.36,175
11-22-2022-13-17-25,4,129 Sec,11-22-2022-13-17-26,FPS: 1.36,176
11-22-2022-13-17-26,4,130 Sec,11-22-2022-13-17-26,FPS: 1.36,177
11-22-2022-13-17-26,4,130 Sec,11-22-2022-13-17-27,FPS: 1.37,178
11-22-2022-13-17-27,4,131 Sec,11-22-2022-13-17-28,FPS: 1.36,179
11-22-2022-13-17-28,4,132 Sec,11-22-2022-13-17-28,FPS: 1.36,180
11-22-2022-13-17-28,4,132 Sec,11-22-2022-13-17-29,FPS: 1.37,181
11-22-2022-13-17-29,4,133 Sec,11-22-2022-13-17-30,FPS: 1.37,182
11-22-2022-13-17-30,4,134 Sec,11-22-2022-13-17-30,FPS: 1.36,183
11-22-2022-13-17-30,4,134 Sec,11-22-2022-13-17-31,FPS: 1.37,184
11-22-2022-13-17-31,4,135 Sec,11-22-2022-13-17-32,FPS: 1.37,185
11-22-2022-13-17-32,4,136 Sec,11-22-2022-13-17-32,FPS: 1.36,186
11-22-2022-13-17-32,4,136 Sec,11-22-2022-13-17-33,FPS: 1.37,187
11-22-2022-13-17-33,4,137 Sec,11-22-2022-13-17-33,FPS: 1.37,188
11-22-2022-13-17-33,4,138 Sec,11-22-2022-13-17-34,FPS: 1.38,189
11-22-2022-13-17-34,4,138 Sec,11-22-2022-13-17-35,FPS: 1.37,190
11-22-2022-13-17-35,4,139 Sec,11-22-2022-13-17-35,FPS: 1.37,191
11-22-2022-13-17-35,4,139 Sec,11-22-2022-13-17-36,FPS: 1.38,192
11-22-2022-13-17-36,4,140 Sec,11-22-2022-13-17-37,FPS: 1.38,193
11-22-2022-13-17-37,4,141 Sec,11-22-2022-13-17-37,FPS: 1.37,194
11-22-2022-13-17-37,4,142 Sec,11-22-2022-13-17-38,FPS: 1.37,195
11-22-2022-13-17-38,4,142 Sec,11-22-2022-13-17-39,FPS: 1.38,196
11-22-2022-13-17-39,4,143 Sec,11-22-2022-13-17-40,FPS: 1.38,197
11-22-2022-13-17-40,4,144 Sec,11-22-2022-13-17-40,FPS: 1.37,198
11-22-2022-13-17-40,4,144 Sec,11-22-2022-13-17-41,FPS: 1.38,199
11-22-2022-13-17-41,4,145 Sec,11-22-2022-13-17-42,FPS: 1.38,200
11-22-2022-13-17-42,4,146 Sec,11-22-2022-13-17-42,FPS: 1.37,201
11-22-2022-13-17-42,4,146 Sec,11-22-2022-13-17-43,FPS: 1.38,202
11-22-2022-13-17-43,4,147 Sec,11-22-2022-13-17-44,FPS: 1.38,203
11-22-2022-13-17-44,4,148 Sec,11-22-2022-13-17-44,FPS: 1.38,204
11-22-2022-13-17-44,4,148 Sec,11-22-2022-13-17-45,FPS: 1.38,205
11-22-2022-13-17-45,4,149 Sec,11-22-2022-13-17-45,FPS: 1.38,206
11-22-2022-13-17-45,4,150 Sec,11-22-2022-13-17-46,FPS: 1.39,207
11-22-2022-13-17-46,4,150 Sec,11-22-2022-13-17-47,FPS: 1.38,208
11-22-2022-13-17-47,4,151 Sec,11-22-2022-13-17-47,FPS: 1.38,209
11-22-2022-13-17-47,4,152 Sec,11-22-2022-13-17-48,FPS: 1.39,210
11-22-2022-13-17-48,4,152 Sec,11-22-2022-13-17-49,FPS: 1.39,211
11-22-2022-13-17-49,4,153 Sec,11-22-2022-13-17-49,FPS: 1.38,212
11-22-2022-13-17-49,4,153 Sec,11-22-2022-13-17-50,FPS: 1.39,213
11-22-2022-13-17-50,4,154 Sec,11-22-2022-13-17-51,FPS: 1.39,214
11-22-2022-13-17-51,4,155 Sec,11-22-2022-13-17-51,FPS: 1.38,215
11-22-2022-13-17-51,4,155 Sec,11-22-2022-13-17-52,FPS: 1.39,216
11-22-2022-13-17-52,4,156 Sec,11-22-2022-13-17-53,FPS: 1.39,217
11-22-2022-13-17-53,4,157 Sec,11-22-2022-13-17-53,FPS: 1.39,218
11-22-2022-13-17-53,4,157 Sec,11-22-2022-13-17-54,FPS: 1.39,219
11-22-2022-13-17-54,4,158 Sec,11-22-2022-13-17-55,FPS: 1.39,220
